# CRIM, ZN, INDUS, CHAS, NOX, RM, AGE, DIS, RAD, TAX, PTRATIO, B, LSTAT, Y
-0.40784991,-0.48772236,-1.26602310,-0.27259857,-0.57613394,1.23997392,0.84012202,-0.52026428,-0.75292215,-1.27835435,-0.30309415,0.41057102,-1.09799011,37.90000000
-0.40737368,-0.48772236,0.24705682,-0.27259857,-1.01668877,0.00194553,-0.83833697,0.33635091,-0.52300145,-0.06080135,0.11303210,0.29116915,-0.52047412,21.40000000
0.12517860,-0.48772236,1.01599907,-0.27259857,1.36749033,-0.43969866,0.68721157,-0.57730857,1.66124525,1.53092646,0.80657583,-3.79579542,0.89107588,12.70000000
0.02830359,-0.48772236,1.01599907,-0.27259857,1.85987514,-0.04791752,0.80100540,-0.71283632,1.66124525,1.53092646,0.80657583,-0.06604964,0.21543824,19.90000000
-0.41240845,-0.48772236,-0.96982713,-0.27259857,-0.91302881,-0.38413697,-0.83478091,0.30050808,-0.75292215,-0.95763307,0.02055960,0.43107437,0.02900711,22.50000000
-0.41693438,1.01446252,-1.40317788,-0.27259857,-0.97349712,1.36249457,-0.68542651,1.54155429,-0.98284286,-0.73787960,-1.36652788,0.41736892,-1.00407368,32.70000000
-0.00292034,-0.48772236,1.01599907,-0.27259857,0.21859243,0.21706899,0.22848019,-0.42713946,1.66124525,1.53092646,0.80657583,0.40234775,0.23926778,23.20000000
-0.22555854,-0.48772236,1.23194490,-0.27259857,2.73234648,-0.23169849,1.02148094,-1.03489891,-0.52300145,-0.03110494,-1.73641788,0.17681090,0.20282260,21.50000000
-0.39556108,0.45650813,-0.76993132,-0.27259857,-1.06851875,-0.08353399,0.37783459,2.02528992,-0.29308074,-0.46467259,0.29797709,0.21343185,-0.35086384,20.50000000
-0.41377892,2.94584308,-1.40317788,-0.27259857,-1.30175366,1.42802887,-1.22594720,1.67042686,-0.86788250,-0.47061187,-2.70737911,0.44105193,-1.20171871,33.30000000
-0.39730532,-0.48772236,-0.54814912,-0.27259857,-0.53294229,0.13016481,-0.50762365,0.35431986,-0.52300145,-0.72006176,0.52915834,0.44105193,-0.81063385,23.10000000
-0.40662732,-0.48772236,0.24705682,-0.27259857,-1.01668877,-0.00802708,0.21069990,0.12224465,-0.52300145,-0.06080135,0.11303210,0.18624024,-0.09574756,20.00000000
